customerId,nombre,aPaterno,aMaterno,correo,telefono,sexo,imagen,fecha_nacimiento,contraseña,ultimoAcceso,statusId,createdAt,updatedAt,intentosFallidos,ultimoIntentoFallido,preguntaSecreta,respuestaPSecreta,fcmToken
1,"Jose Luis ",Hernandez,"De La Cruz",dareckluis@gmail.com,7658337003,masculino,NULL,1997-05-06,$2a$10$IyGMAZjCevtHW8kgLGbMEun4myrE83ia.WLzAljYnydHcyu7PSA8S,"2024-07-22 22:53:21",1,"2024-03-25 03:54:00","2024-07-25 02:40:12",6,"2024-07-25 02:40:12","¿Equipo de futbol favorito?",Pumas,NULL
2,Itzel,Doroteo,Martinez,winim7147271@gmail.com,7717291613,femenino,NULL,2003-05-03,$2a$10$xLD4q2V0wSjzViwtkHm7lOOXauXwNmzntcmWjaO3VtVjIXpUuE/RG,"2024-04-18 20:30:50",1,"2024-04-06 05:22:20","2024-04-18 20:30:50",0,"2024-04-18 20:30:40","¿Color favorito?",morado,NULL
3,Itzel,Doroteo,Martinez,20211032@uthh.edu.mx,7658337003,femenino,NULL,2003-05-03,$2a$10$wt2KUHnbVeae1j7HuofZde3m3lJ4cwhOAU1gUuFeH1o2CbkjFbwg.,"2024-07-25 02:40:55",1,"2024-04-08 22:53:29","2024-07-25 02:40:55",0,NULL,"¿Color favorito?",morado,NULL
4,"Flor Daniela",Romero,Gomez,20211311@uthh.edu.mx,7658337003,femenino,NULL,2003-05-03,$2a$10$TZ1DDuL9rS8Di9OKviTSie5giqn0MnYyEPOsO8mC.NNO4C91.Bgz2,"2024-04-16 16:28:33",2,"2024-04-16 15:02:58","2024-07-19 18:02:29",4,"2024-04-16 17:27:26","¿Fruta favorita?",sandia,NULL
105,Carlos,Doroteo,Garcia,carlos.doroteo0@example.com,7654116830,femenino,NULL,1991-04-28,$2a$10$9Xsk/b/0EnHfEW7q4ykKte/VsjDrvxbeigNzlPtUNhR5FWhGalC4.,"2024-07-18 04:43:42",2,"2024-03-03 01:18:56","2024-07-18 16:16:10",0,"2024-06-13 13:26:02","¿Lugar favorito?",Playa,NULL
106,Pedro,Lopez,Doroteo,pedro.lopez1@example.com,7711029027,masculino,NULL,2005-04-24,$2a$10$9Xsk/b/0EnHfEW7q4ykKte/VsjDrvxbeigNzlPtUNhR5FWhGalC4.,"2024-07-22 10:56:52",1,"2024-02-08 20:54:37","2024-07-22 10:56:52",0,"2024-06-25 16:25:46","¿Animal favorito?",Perro,NULL
107,Ana,Martinez,Sanchez,ana.martinez2@example.com,7790409434,masculino,NULL,2004-08-24,$2a$10$9Xsk/b/0EnHfEW7q4ykKte/VsjDrvxbeigNzlPtUNhR5FWhGalC4.,"2024-07-18 15:46:51",3,"2024-02-06 15:44:04","2024-07-18 15:46:51",0,"2024-06-16 19:14:58","¿Fruta favorita?",Perro,NULL
108,Jose,Doroteo,Gomez,jose.doroteo3@example.com,7706984551,femenino,NULL,1998-01-20,$2a$10$9Xsk/b/0EnHfEW7q4ykKte/VsjDrvxbeigNzlPtUNhR5FWhGalC4.,"2024-07-19 03:32:36",3,"2024-03-22 14:49:37","2024-07-19 03:32:36",0,"2024-04-11 22:26:45","¿Animal favorito?",Playa,NULL
109,Laura,Lopez,Rodriguez,laura.lopez4@example.com,7767734963,masculino,NULL,2002-05-24,$2a$10$9Xsk/b/0EnHfEW7q4ykKte/VsjDrvxbeigNzlPtUNhR5FWhGalC4.,"2024-07-19 03:44:52",1,"2024-05-15 16:32:04","2024-07-19 03:44:52",0,"2024-05-22 20:46:48","¿Lugar favorito?",Pumas,NULL
110,Laura,Lopez,Sanchez,laura.lopez5@example.com,7764031749,masculino,NULL,2000-10-30,$2a$10$9Xsk/b/0EnHfEW7q4ykKte/VsjDrvxbeigNzlPtUNhR5FWhGalC4.,"2024-07-19 04:11:32",1,"2024-04-09 22:24:08","2024-07-19 04:11:32",0,"2024-04-29 23:50:33","¿Equipo de futbol favorito?",Morado,NULL
